"agency_id","slug","name","url","timezone"
"82","ava","Auto Viação Aveirense","","Europe/Lisbon"
"83","albano-esteves-martins-filhos-lda","Albano Esteves Martins & Filhos, Lda.","","Europe/Lisbon"
"84","alsa","Alsa","","Europe/Lisbon"
"85","arriva-portugal","Arriva Portugal","","Europe/Lisbon"
"86","auto-tranportadora-porto-santo","Auto Tranportadora Porto Santo","","Europe/Lisbon"
"87","auto-transportes-do-fundao","Auto Transportes do Fundão","","Europe/Lisbon"
"88","auto-viacao-da-murtosa","Auto Viação da Murtosa","","Europe/Lisbon"
"89","autobus","Autobus","","Europe/Lisbon"
"91","auto-viacao-do-minho","Auto Viação do Minho","","Europe/Lisbon"
"92","auto-viacao-do-tamega","Auto Viação do Tamega","","Europe/Lisbon"
"93","auto-viacao-feirense","Auto Viação Feirense","","Europe/Lisbon"
"95","auto-viacao-pacense","Auto Viação Pacense","","Europe/Lisbon"
"96","auto-viacao-landim","Auto Viação Landim","","Europe/Lisbon"
"98","avenidas-do-tempo","Avenidas do Tempo","","Europe/Lisbon"
"100","barraqueiro","Barraqueiro","","Europe/Lisbon"
"101","barraqueiro-oeste","Barraqueiro Oeste","","Europe/Lisbon"
"102","boa-viagem","Boa Viagem","","Europe/Lisbon"
"103","caetano-cascao-e-linhares","Caetano,Cascão e Linhares","","Europe/Lisbon"
"104","carris","Carris","","Europe/Lisbon"
"105","cisterbus","Cisterbus","","Europe/Lisbon"
"106","urbanos-de-vila-real","Urbanos de Vila Real","","Europe/Lisbon"
"107","courense","Courense","","Europe/Lisbon"
"108","craveiro-cordeiro","Craveiro & Cordeiro","","Europe/Lisbon"
"109","e-a-v-t","E.A.V.T","","Europe/Lisbon"
"110","empresa-de-transportes-gondomarense","Empresa de Transportes Gondomarense","","Europe/Lisbon"
"111","empresas-berrelhas-da-camionagem","Empresas Berrelhas da Camionagem","","Europe/Lisbon"
"112","empresa-de-automoveis-do-canico","Empresa de Autómoveis do Caniço","","Europe/Lisbon"
"113","empresa-de-viacao-barranquense","Empresa de Viação Barranquense","","Europe/Lisbon"
"114","empresa-hoteleira-do-geres","Empresa Hoteleira do Gerês","","Europe/Lisbon"
"115","espirito-santo","Espirito Santo - Autocarros de Gaia","","Europe/Lisbon"
"116","estremadura","Estremadura","","Europe/Lisbon"
"117","ev-mafrense","Empresa de Viação Mafrense","","Europe/Lisbon"
"118","eva","EVA Transportes","","Europe/Lisbon"
"119","horarios-funchal","Horários do Funchal","","Europe/Lisbon"
"120","isodoro-duarte","Isodoro Duarte","","Europe/Lisbon"
"121","joalto","Joalto","","Europe/Lisbon"
"122","joalto-douro","Joalto Douro","","Europe/Lisbon"
"123","joalto-mondego","Joalto Mondego","","Europe/Lisbon"
"124","litoral-norte","Litoral Norte","","Europe/Lisbon"
"125","lopes-filhos","Lopes&Filhos","","Europe/Lisbon"
"126","maia-tranportes","Maia Tranportes","","Europe/Lisbon"
"127","marques","Marques","","Europe/Lisbon"
"128","moises-correia-de-oliveira","Moisés Correia de Oliveira","","Europe/Lisbon"
"129","mondinense","Mondinense","","Europe/Lisbon"
"130","mgc","MGC Transportes","","Europe/Lisbon"
"132","resende","Resende","","Europe/Lisbon"
"133","ribatejana","Ribatejana","","Europe/Lisbon"
"134","rodonorte","RodoNorte","","Europe/Lisbon"
"135","rodoeste","Rodoeste","","Europe/Lisbon"
"136","rodoviaria-da-beira-interior","Rodoviária da Beira Interior","","Europe/Lisbon"
"137","rodoviaria-de-lisboa","Rodoviária de Lisboa","","Europe/Lisbon"
"138","rodoviaria-do-alentejo","Rodoviária do Alentejo","","Europe/Lisbon"
"139","rodoviaria-do-tejo","Rodoviária do Tejo","","Europe/Lisbon"
"140","sam","Sociedade de Automóveis da Madeira","","Europe/Lisbon"
"141","smtcb","S.M. Transportes Colectivos do Barreiro","","Europe/Lisbon"
"142","salvador-alves-pereira","Salvador Alves Pereira","","Europe/Lisbon"
"143","santos","Santos","","Europe/Lisbon"
"144","scotturb","Scotturb","","Europe/Lisbon"
"146","smtuc","S.M. Transportes Urbanos de Coimbra","","Europe/Lisbon"
"147","stcp","Sociedade de Transportes Colectivos do Porto","","Europe/Lisbon"
"148","topcar","TopCar","","Europe/Lisbon"
"149","trancolvia","Trancolvia","","Europe/Lisbon"
"150","transcovizela","Transcovizela","","Europe/Lisbon"
"151","transdev","Transdev","","Europe/Lisbon"
"154","tust","Transportes Urbanos de Santo Tirso","","Europe/Lisbon"
"155","stuv","Serviço de Transportes Urbanos de Viseu","","Europe/Lisbon"
"156","tub","Transportes Urbanos de Braga","","Europe/Lisbon"
"157","turilis","Turilis","","Europe/Lisbon"
"158","turitalefe","Turitalefe","","Europe/Lisbon"
"159","uniao-de-satao-e-aguiar-e-beira","União de Sátão e Aguiar e Beira","","Europe/Lisbon"
"160","utc","União de Transportes dos Carvalhos","","Europe/Lisbon"
"161","valpibus","ValpiBus","","Europe/Lisbon"
"162","varela-companhia","Varela&Companhia","","Europe/Lisbon"
"163","verde-minho","Verde Minho","","Europe/Lisbon"
"164","vimeca-tranportes","Vimeca Tranportes","","Europe/Lisbon"
"165","viuva-monteira","Viúva Monteira","","Europe/Lisbon"
"166","vtbus","vtbus","","Europe/Lisbon"
"167","renex","RENEX","","Europe/Lisbon"
"168","avic","AVIC","","Europe/Lisbon"
"169","autna","Autna","","Europe/Lisbon"
"170","rne","Rede Nacional de Expressos","","Europe/Lisbon"
"171","aveirobus","AveiroBus","","Europe/Lisbon"
"172","tus","Transportes Urbanos de S. João da Madeira","","Europe/Lisbon"
"173","tuaz","Transportes Urbanos de Azeméis","","Europe/Lisbon"
"174","tuf","Transportes Urbanos de Famalicão","","Europe/Lisbon"
"175","tug-guimaraes","Transurbanos de Guimarães","","Europe/Lisbon"
"176","anadiasim","AnadiaSim","","Europe/Lisbon"
"177","anc","A. Nogueira da Costa","","Europe/Lisbon"
"178","barquense","Empresa de Transportes Barquense","","Europe/Lisbon"
"179","trevo","Transportes Rodoviários de Évora","","Europe/Lisbon"
"180","avs","Auto Viação do Souto","","Europe/Lisbon"
"181","urbmarco","UrbMarco","","Europe/Lisbon"
"182","urbcondeixa","UrbCondeixa","","Europe/Lisbon"
"183","tucab","Transportes Urbanos de Castelo Branco","","Europe/Lisbon"
"184","giro","GIRO Transportes Urbanos de Albufeira","","Europe/Lisbon"
"187","smm","Serviço de Mobilidade do Mondego","","Europe/Lisbon"
"188","salvador","Salvador Transportes","","Europe/Lisbon"
"189","tuc-chaves","Transportes Urbanos de Chaves","","Europe/Lisbon"
"190","stub","Serviço de Transportes Urbanos de Bragança","","Europe/Lisbon"
"191","tumg","Transportes Urbanos da Marinha Grande","","Europe/Lisbon"
"192","mobilis","Mobilis - Transportes Urbanos de Leiria","","Europe/Lisbon"
"193","rodoviaria-do-lis","Rodoviária do Lis","","Europe/Lisbon"
"194","internorte","InterNorte","","Europe/Lisbon"
"195","vaivem","Vai e Vem Portimão","","Europe/Lisbon"
"196","proximo","Próximo - Transportes Urbanos de Faro","","Europe/Lisbon"
"197","tua-almeirim","Transportes Urbanos de Almeirim","","Europe/Lisbon"
"198","tut-torres-vedras","Transportes Urbanos de Torres Vedras","","Europe/Lisbon"
"199","covibus","CoviBus","","Europe/Lisbon"
"200","mts","Metro Transportes do Sul","","Europe/Lisbon"
"201","metropolitano-de-lisboa","Metropolitano de Lisboa","","Europe/Lisbon"
"202","metro-do-porto","Metro do Porto","","Europe/Lisbon"
"203","fertagus","Fertagus","","Europe/Lisbon"
"204","cp","CP - Comboios de Portugal","","Europe/Lisbon"
"205","tul","Transportes Urbanos de Loulé","","Europe/Lisbon"
"206","citiexpress","CitiExpress","","Europe/Lisbon"
"207","frota-azul","Frota Azul","","Europe/Lisbon"
"208","tst","Transportes Sul do Tejo","","Europe/Lisbon"
"209","eba","EBA Transportes","","Europe/Lisbon"
"210","transtejo","Transtejo","","Europe/Lisbon"
"211","soflusa","Soflusa","","Europe/Lisbon"
"212","rodoviaria-do-oeste","Rodoviária do Oeste","","Europe/Lisbon"
"213","chita","Transportes Urbanos de Alcobaça","","Europe/Lisbon"
"214","toma","TOMA - Caldas da Raínha","","Europe/Lisbon"
"215","mobi","Mobi Óbidos","","Europe/Lisbon"
"216","cup","Circuito Urbano de Peniche","","Europe/Lisbon"
"217","scalabus","Transportes Urbanos de Santarém","","Europe/Lisbon"
"218","gira-batalha","Gira Batalha","","Europe/Lisbon"
"219","tua-abrantes","Transportes Urbanos de Abrantes","","Europe/Lisbon"
"220","tuc-cartaxo","Transporte Urbano do Cartaxo","","Europe/Lisbon"
"221","tut-tomar","Transportes Urbanos de Tomar","","Europe/Lisbon"
"222","tut-torres-novas","Transportes Urbanos Torrejanos","","Europe/Lisbon"
"223","smat","SMAT Portalegre","","Europe/Lisbon"
"224","metro-mirandela","Metro Ligeiro de Mirandela","","Europe/Lisbon"
"225","tug-guarda","Transportes Urbanos da Guarda","","Europe/Lisbon"
"226","tribus","Transporte a Pedido TRIBUS","","Europe/Lisbon"
"227","move-alvaiazere","MOVE Alvaiázere","","Europe/Lisbon"
"228","servicos-municipalizados-da-nazare","Serviços Municipalizados da Nazaré","","Europe/Lisbon"
"229","pombus","POMBUS","","Europe/Lisbon"
"230","mobicascais","MobiCascais","","Europe/Lisbon"
"231","servico-municipal-alcacer-do-sal","Serviço Municipal de Alcácer do Sal","","Europe/Lisbon"
"232","transportes-urbanos-municipio-de-sines","Transportes Urbanos - Município de Sines","","Europe/Lisbon"
"233","henrique-leonardo-mota-lda","Henrique Leonardo Mota Lda.","","Europe/Lisbon"
"234","aerobus","Aerobus","","Europe/Lisbon"
"235","mafrense","Mafrense","","Europe/Lisbon"
"236","atlantic-ferries","Atlantic Ferries","","Europe/Lisbon"
"237","transpraia","Transpraia","","Europe/Lisbon"
"238","sulfertagus","SulFertagus","","Europe/Lisbon"
"239","atlanticoline","Atlânticoline","","Europe/Lisbon"
"240","porto-santo-line","Porto Santo Line","","Europe/Lisbon"
"241","auto-viacao-micaelense","Auto Viação Micaelense","","Europe/Lisbon"
"242","caetano-raposo-pereira","Caetano, Raposo & Pereira","","Europe/Lisbon"
"243","cristiano-limitada","Cristiano Limitada","","Europe/Lisbon"
"244","empresa-de-transportes-coletivos-da-ilha-graciosa","Empresa de Transportes Coletivos da Ilha Graciosa","","Europe/Lisbon"
"245","empresa-de-viacao-terceirense","Empresa de Viação Terceirense","","Europe/Lisbon"
"246","transportes-santa-maria","Transportes Santa Maria","","Europe/Lisbon"
"247","auto-viacao-espinho","Auto Viação Espinho","","Europe/Lisbon"
